ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,isDSDSeries,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,UnitMultiplier,Units,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile,Activity,Observation Status,Policy Domains,Policy instruments,Sampling Stations,Type of waste treatment,Grounds of discrimination,Parliamentary committees,Cause of death,Substance use disorders,Mountain Elevation,Deviation Level,Frequency of Chlorophyll-a concentration,Food Waste Sector,Fiscal intervention stage
927094,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,10.05488,Float,2017,,,,,Statistical Centre of Iran,,"",6013982,,,,,MALE,,PERCENT,,,,,,,,,EPRS,,,,,,,,,,G,,,,,,,,,,,,,,,,
927095,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,8.20906,Float,2017,,,,,Statistical Centre of Iran,,"",6013932,,,,,FEMALE,,PERCENT,,,,,,,,,EPRS,,,,,,,,,,G,,,,,,,,,,,,,,,,
927096,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,0.97802,Float,2017,,,,,Statistical Centre of Iran,,"",6013913,,,,,FEMALE,,PERCENT,,,,,,,,,PCPR,,,,,,,,,,G,,,,,,,,,,,,,,,,
927097,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,1.28149,Float,2017,,,,,Statistical Centre of Iran (SCI),,"",6013914,,,,,BOTHSEX,,PERCENT,,,,,,,,,PCPR,,,,,,,,,,G,,,,,,,,,,,,,,,,
927098,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,1.57813,Float,2017,,,,,Statistical Centre of Iran,,"",6013915,,,,,MALE,,PERCENT,,,,,,,,,PCPR,,,,,,,,,,G,,,,,,,,,,,,,,,,
927099,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,18.666,Float,2017,,,,,Statistical Centre of Iran,,"",6013916,,,,,FEMALE,,PERCENT,,,,,,,,,COPA,,,,,,,,,,G,,,,,,,,,,,,,,,,
927100,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,21.187,Float,2017,,,,,Statistical Centre of Iran (SCI),,"",6013917,,,,,BOTHSEX,,PERCENT,,,,,,,,,COPA,,,,,,,,,,G,,,,,,,,,,,,,,,,
927107,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,22.55757,Float,2017,,,,,Statistical Centre of Iran,,"",6013924,,,,,MALE,,PERCENT,,,,,,,,,TRAF,,,,,,,,,,G,,,,,,,,,,,,,,,,
927108,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,9.63881,Float,2017,,,,,Statistical Centre of Iran,,"",6013925,,,,,FEMALE,,PERCENT,,,,,,,,,EMAIL,,,,,,,,,,G,,,,,,,,,,,,,,,,
927109,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,11.23048,Float,2017,,,,,Statistical Centre of Iran (SCI),,"",6013926,,,,,BOTHSEX,,PERCENT,,,,,,,,,EMAIL,,,,,,,,,,G,,,,,,,,,,,,,,,,
927110,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,364,Iran (Islamic Republic of),2017,12.78628,Float,2017,,,,,Statistical Centre of Iran,,"",6013927,,,,,MALE,,PERCENT,,,,,,,,,EMAIL,,,,,,,,,,G,,,,,,,,,,,,,,,,
